track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,artist_name,popularity,album_name,album_type,release_date,track_url
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,2023,5,31,1313,40,200647221.0,17,152,32,11,139,133,F,Minor,85,81,67,26,0,12,5,Bizarrap,71.0,"Peso Pluma: Bzrp Music Sessions, Vol. 55",single,2023-06-01,https://open.spotify.com/track/5AqiaZwhmC6dIbgWrD5SzV
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,2023,6,2,1945,87,115364561.0,74,182,87,14,"1,093",99,C#,Major,85,83,68,7,0,36,20,,,,,,
SABOR FRESA,Fuerza Regida,1,2023,6,22,250,26,78300654.0,16,149,10,5,168,130,G,Minor,79,96,86,9,0,9,9,Fuerza Regida,74.0,SABOR FRESA,single,2023-06-22,https://open.spotify.com/track/1UMm1Qs3u59Wvk53zBUE8r
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",2,2022,3,25,7112,77,899183384.0,202,119,318,38,96,107,B,Major,80,82,80,43,0,14,4,Rema,80.0,Calm Down (with Selena Gomez),single,2022-08-25,https://open.spotify.com/track/0WtM2NBVQNNJLh6scP13H8
MOJABI GHOST,"Tainy, Bad Bunny",2,2023,6,29,859,40,61245289.0,35,109,41,14,211,122,F#,Minor,81,74,71,14,0,56,4,Tainy,81.0,DATA,album,2023-06-29,https://open.spotify.com/track/46YjJXVXWHlQ21odKktg5e
Last Night,Morgan Wallen,1,2023,1,31,2420,19,429829812.0,52,107,15,1,325,204,F#,Major,52,52,68,46,0,15,4,Rivo,71.0,Last Night,single,2024-10-11,https://open.spotify.com/track/2fr3zUXQFLztUhpfBu6Wpq
Dance The Night (From Barbie The Album),Dua Lipa,1,2023,5,25,2988,101,127408954.0,0,0,143,38,0,110,B,Minor,67,78,85,2,0,33,5,,,,,,
Rush,Troye Sivan,1,2023,7,13,864,78,22581161.0,71,135,50,1,294,126,F,Minor,74,35,84,0,0,11,6,,,,,,
TULUM,"Peso Pluma, Grupo Frontera",2,2023,6,28,266,34,52294266.0,20,185,13,8,197,168,F#,Major,56,63,87,39,0,11,5,Peso Pluma,74.0,GÉNESIS,album,2023-06-29,https://open.spotify.com/track/7bPp2NmpmyhLJ7zWazAXMu
Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,2022,12,2,6036,88,843957510.0,113,149,245,23,27,98,C#,Minor,71,17,61,36,0,8,5,SP3CTRUM,59.0,Creepin',single,2023-01-26,https://open.spotify.com/track/5r2uftQ7dU1fFOQcSNjWPl
Anti-Hero,Taylor Swift,1,2022,10,21,9082,56,999748277.0,242,142,165,9,310,97,E,Major,64,51,63,12,0,19,5,Taylor Swift,82.0,Midnights,album,2022-10-21,https://open.spotify.com/track/0V3wPSX9ygBnCm8psDIegu
TQG,"Karol G, Shakira",2,2023,2,23,4284,49,618990393.0,115,123,184,18,354,180,E,Minor,72,61,63,67,0,9,28,KAROL G,81.0,MAÑANA SERÁ BONITO,album,2023-02-24,https://open.spotify.com/track/0DWdj2oZMBFSzRsi2Cvfzf
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,2023,6,1,1150,31,123122413.0,22,33,34,7,184,120,n/a,Major,81,63,68,11,0,11,4,LIT killah,73.0,Los del Espacio,single,2023-06-01,https://open.spotify.com/track/1Hs1uUl8o2VtDp1DABFq0O
Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,2023,4,7,672,34,188933502.0,19,108,24,9,212,150,F#,Major,61,39,73,37,0,11,3,,,,,,
Blank Space,Taylor Swift,1,2014,1,1,11434,53,1355959075.0,154,123,410,2,81,96,F,Major,75,57,68,9,0,13,6,Taylor Swift,81.0,1989 (Deluxe),album,2014-01-01,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g
Style,Taylor Swift,1,2014,1,1,7830,42,786181836.0,94,111,151,4,82,95,D,Major,60,48,79,0,0,12,4,,,,,,
TQM,Fuerza Regida,1,2023,5,19,584,28,176553476.0,16,159,15,6,100,125,F,Minor,79,96,85,27,0,11,6,Fuerza Regida,72.0,TQM,single,2023-05-19,https://open.spotify.com/track/368eeEO3Y2uZUQ6S5oIjcu
El Azul,"Junior H, Peso Pluma",2,2023,2,10,692,25,354495408.0,10,107,6,3,62,144,A,Minor,56,84,65,23,0,10,6,Junior H,79.0,El Azul,single,2023-02-10,https://open.spotify.com/track/1haJsMtoBhHfvuM7XWuT3W
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2018,10,9,24094,78,2808096550.0,372,117,843,4,69,90,D,Major,76,91,50,54,0,7,5,Post Malone,82.0,Hollywood's Bleeding,album,2019-09-06,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
I'm Good (Blue),"Bebe Rexha, David Guetta",2,2022,8,26,12482,80,1109433169.0,291,184,537,45,727,128,G,Minor,56,38,97,4,0,35,4,David Guetta,86.0,I'm Good (Blue),single,2022-08-26,https://open.spotify.com/track/4uUG5RXrOk84mYEfFvj3cK
See You Again,"Tyler, The Creator, Kali Uchis",3,2017,7,21,13387,64,1047101291.0,77,58,247,1,311,79,F#,Major,56,58,56,37,0,11,10,,,,,,
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",3,2023,6,23,1117,80,65156199.0,82,145,65,16,"1,133",144,n/a,Major,77,75,58,52,0,23,25,Nicki Minaj,71.0,Barbie World (with Aqua) [From Barbie The Album],single,2023-06-23,https://open.spotify.com/track/741UUVE2kuITl0c6zuqqbO
Angels Like You,Miley Cyrus,1,2020,11,27,3372,19,570515054.0,65,48,138,1,102,122,F,Major,67,49,64,10,0,10,3,Miley Cyrus,80.0,Plastic Hearts,album,2020-11-27,https://open.spotify.com/track/1daDRI9ahBonbWD8YcxOIB
I Ain't Worried,OneRepublic,1,2022,5,13,8431,76,1085685420.0,241,127,458,37,332,140,n/a,Major,71,82,81,11,0,6,5,OneRepublic,82.0,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",single,2022-05-13,https://open.spotify.com/track/4h9wh7iOZ0GGn8QVp4RAOB
Die For You,The Weeknd,1,2016,11,24,2483,59,1647990401.0,68,21,24,0,259,134,C#,Minor,59,51,52,9,0,15,7,The Weeknd,86.0,Starboy,album,2016-11-24,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3
